iri,source_file,parent_iris,label_en,label_de,label_none,definition_en,definition_de,definition_none,label_en_suggested,label_de_suggested,definition_en_suggested,definition_de_suggested,notes
https://w3id.org/pmd/co/PMD_0020021,src/ontology/components/pmdco-axioms-shared.owl,,DEPRECATED causally influences,,,DEPRECATED An entity (that is bearer of some stimulation role) causally influences another entity (that is bearer of the stimulation target role) in a process iff  the target objects qualites (and/or realizable entities?) are altered in a manner that is significant in the given context/domain of discourse..,,,DEPRECATED causally influences,,DEPRECATED object property that holds between an entity bearing a stimulation role and an entity bearing a stimulation target role when the qualities or realisable entities of the target are altered in a manner significant within the given domain of discourse,,
https://w3id.org/pmd/co/PMD_0025019,src/ontology/components/pmdco-axioms-shared.owl,https://w3id.org/pmd/co/PMD_0000008 | [complex],rate,,,process attribute which describes the change of some quality of some of the participants in a process over time,,,,rate,process attribute that describes the change of a quality of one or more participants in a process per unit time,"Prozessattribut, das die zeitliche Änderung einer Eigenschaft eines oder mehrerer Prozessteilnehmer beschreibt",
https://w3id.org/pmd/co/PMD_0025022,src/ontology/components/pmdco-axioms-shared.owl,https://w3id.org/pmd/co/PMD_0025019 | [complex],cooling rate,,,Cooling rate is a process attribute which describes the descreate of temperature of some of the participant in a process over time.,,,,abkühlrate,rate that describes the decrease in temperature of one or more participants in a process per unit time,"Rate, die die Abnahme der Temperatur eines oder mehrerer Prozessteilnehmer pro Zeiteinheit beschreibt",
https://w3id.org/pmd/co/PMD_0025023,src/ontology/components/pmdco-axioms-shared.owl,https://w3id.org/pmd/co/PMD_0025019 | [complex],heating rate,,,Heating rate is a process attribute which describes the increare of temperature of some of the participant in a process over time,,,,aufheizrate,rate that describes the increase in temperature of one or more participants in a process per unit time,"Rate, die die Zunahme der Temperatur eines oder mehrerer Prozessteilnehmer pro Zeiteinheit beschreibt",
https://w3id.org/pmd/co/PMD_0025024,src/ontology/components/pmdco-axioms-shared.owl,https://w3id.org/pmd/co/PMD_0025019 | [complex],growth rate,,,Growth rate is a process attribute which describes the increase of size of some of the participant in a process over time.,,,,wachstumsrate,rate that describes the increase in size of one or more participants in a process per unit time,"Rate, die die Zunahme der Größe eines oder mehrerer Prozessteilnehmer pro Zeiteinheit beschreibt",
https://w3id.org/pmd/co/PMD_0000507,src/ontology/components/pmdco-characterization.owl,http://purl.obolibrary.org/obo/OBI_0000070,acoustical property analyzing process,Akustische Eigenschaften Analyseverfahren,,"An assay, that measures the acoustic properties of materials by analyzing how sound waves interact with the material. This process involves generating sound waves and observing their reflection, transmission, absorption, or scattering to determine properties such as acoustic impedance, absorption coefficient, and sound speed.","Eine Analyse, die die akustischen Eigenschaften von Materialien misst, indem es analysiert, wie Schallwellen mit dem Material interagieren. Dieser Prozess umfasst die Erzeugung von Schallwellen und die Beobachtung ihrer Reflexion, Übertragung, Absorption oder Streuung, um Eigenschaften wie akustische Impedanz, Absorptionskoeffizient und Schallgeschwindigkeit zu bestimmen.",,acoustical property characterisation process,akustische-Eigenschaften-Analyseverfahren,"assay that determines the acoustic properties of a material by analysing the interaction of sound waves with the material, including reflection, transmission, absorption, and scattering","Prüfverfahren, das die akustischen Eigenschaften eines Materials durch Analyse der Wechselwirkung von Schallwellen mit dem Material bestimmt, einschließlich Reflexion, Transmission, Absorption und Streuung",
https://w3id.org/pmd/co/PMD_0000509,src/ontology/components/pmdco-characterization.owl,https://w3id.org/pmd/co/PMD_0000849,adhesion testing process,Adhäsionsprüfverfahren,,"A mechanical property analyzing process that measures the strength of adhesion between two bonded surfaces, assessing the quality of adhesive joints.","Ein Mechanische Eigenschaften Analyseverfahren, das die Stärke der Haftung zwischen zwei verklebten Oberflächen misst und die Qualität der Klebeverbindungen bewertet.",,,haftfestigkeitsprüfverfahren,mechanical property analysing process that determines the adhesive strength between two bonded surfaces by measuring the force required to separate them,"Mechanische-Eigenschaften-Analyseverfahren, das die Haftfestigkeit zwischen zwei gefügten Oberflächen durch Messung der zu ihrer Trennung erforderlichen Kraft bestimmt",
https://w3id.org/pmd/co/PMD_0000530,src/ontology/components/pmdco-characterization.owl,https://w3id.org/pmd/co/PMD_0000849,bending testing process,Biegeprüfverfahren,,"A mechanical property analyzing process that measures the resistance of a material to bending forces, determining its flexural strength and stiffness.","Ein Mechanische Eigenschaften Analyseverfahren, das den Widerstand eines Materials gegen Biegekräfte misst und seine Biegefestigkeit und Steifigkeit bestimmt.",,,,mechanical property analysing process that determines the resistance of a material to bending forces by measuring its flexural strength and flexural modulus,"Mechanische-Eigenschaften-Analyseverfahren, das den Widerstand eines Materials gegenüber Biegekräften durch Messung seiner Biegefestigkeit und seines Biegemoduls bestimmt",
https://w3id.org/pmd/co/PMD_0000531,src/ontology/components/pmdco-characterization.owl,https://w3id.org/pmd/co/PMD_0000532,biocompatibility analyzing process,Analyseverfahren der Biokompatibilität,,A biological property analyzing process that evaluates the compatibility of a material with living tissues to ensure it does not provoke an adverse biological response.,"Ein Biologisches Eigenschaften Analyseverfahren, das die Verträglichkeit eines Materials mit lebenden Geweben bewertet, um sicherzustellen, dass es keine nachteilige biologische Reaktion hervorruft.",,,biokompatibilitäts-Analyseverfahren,biological property analysing process that determines the compatibility of a material with living tissues by assessing whether it provokes an adverse biological response,"Biologische-Eigenschaften-Analyseverfahren, das die Verträglichkeit eines Materials mit lebendem Gewebe durch Bewertung möglicher nachteiliger biologischer Reaktionen bestimmt",
https://w3id.org/pmd/co/PMD_0000532,src/ontology/components/pmdco-characterization.owl,http://purl.obolibrary.org/obo/OBI_0000070,biological property analyzing process,Biologische Eigenschaften Analyseverfahren,,"An assay that examines the interaction of materials with biological systems, including biocompatibility, biodegradability, toxicity, and the effects of materials on living organisms and cells.","Eine Analyse, die die Wechselwirkung von Materialien mit biologischen Systemen untersucht, einschließlich Biokompatibilität, Abbaubarkeit, Toxizität und der Auswirkungen von Materialien auf lebende Organismen und Zellen.",,,biologische-Eigenschaften-Analyseverfahren,"assay that determines properties arising from the interaction of a material with biological systems, including biocompatibility, biodegradability, and toxicity","Prüfverfahren, das Eigenschaften bestimmt, die aus der Wechselwirkung eines Materials mit biologischen Systemen resultieren, einschließlich Biokompatibilität, biologischer Abbaubarkeit und Toxizität",
https://w3id.org/pmd/co/PMD_0000552,src/ontology/components/pmdco-characterization.owl,https://w3id.org/pmd/co/PMD_0000957,chemical composition analyzing process,Analyseverfahren für die chemische Zusammensetzung,,A structural property analyzing process that determines the chemical composition of a material by identifying and quantifying its constituent elements and compounds.,"Ein Struktur Eigenschaften Analyseverfahren, das die chemische Zusammensetzung eines Materials bestimmt, indem es dessen Bestandteile und Verbindungen identifiziert und quantifiziert.",,,analyseverfahren für chemische Zusammensetzung,structural property analysing process that determines the chemical composition of a material by identifying and quantifying its constituent elements and compounds,"Strukturelle-Eigenschaften-Analyseverfahren, das die chemische Zusammensetzung eines Materials durch Identifizierung und Quantifizierung seiner Bestandteile und Verbindungen bestimmt",
